Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-12-31,2008-02-03,1.3,,
2008-01-31,2008-03-05,1.7,,
2008-02-29,2008-04-06,-4.1,,
2008-03-31,2008-05-05,4.4,,
2008-04-30,2008-06-04,5.8,,
2008-05-31,2008-07-02,1.5,,
2008-06-30,2008-07-30,,,
2020-02-29,2020-04-06,-4.7,,
2020-03-31,2020-05-06,15.0,,
2020-04-30,2020-06-03,-11.0,-13.5,-13.8
2020-05-31,2020-07-01,-4.0,-7.0,-7.4
2020-06-30,2020-08-03,3.0,4.3,3.4
2020-07-31,2020-09-02,-4.0,-3.0,-3.9
2020-08-31,2020-10-05,-4.0,-1.9,-1.8
2020-09-30,2020-11-04,4.0,2.8,2.8
2020-10-31,2020-12-02,5.0,3.5,3.2
2020-11-30,2021-01-06,3.0,-2.1,-1.4
2020-12-31,2021-02-03,3.0,5.8,6.1
2021-01-31,2021-03-03,6.0,4.0,2.0
2021-02-28,2021-03-31,-1.0,1.5,0.4
2021-03-31,2021-05-03,-2.0,3.7,3.4
2021-04-30,2021-06-02,3.0,7.0,5.4
2021-05-31,2021-06-30,6.0,6.4,7.4
2021-06-30,2021-08-04,4.0,5.5,6.0
2021-07-31,2021-09-01,5.0,2.7,3.6
2021-08-31,2021-10-04,4.0,-3.0,-2.0
2021-09-30,2021-11-03,-6.0,-2.5,-1.4
2021-10-31,2021-12-01,-3.0,-0.6,0.1
2021-11-30,2022-01-10,2.0,,
2021-12-31,2022-02-02,1.0,1.0,2.0
2022-01-31,2022-03-02,8.0,6.3,5.8
2022-02-28,2022-04-06,0.0,0.2,-0.1
2022-03-31,2022-05-04,0.0,2.9,2.9
2022-04-30,2022-06-01,1.0,0.9,1.2
2022-05-31,2022-07-06,9.0,2.0,2.0
2022-06-30,2022-08-03,5.0,0.0,0.1
2022-07-31,2022-09-07,-10.0,-7.5,-5.8
2022-08-31,2022-10-05,3.0,1.7,3.5
2022-09-30,2022-11-02,7.0,1.3,1.5
2022-10-31,2022-12-07,-1.0,1.0,1.1
2022-11-30,2023-01-11,0.0,,
2022-12-31,2023-02-06,-1.0,,
2023-01-31,2023-03-06,1.0,,
2023-02-28,2023-04-05,-3.0,,
2023-03-31,2023-05-03,4.0,,
2023-04-30,2023-06-07,-5.0,,
2023-05-31,2023-07-05,4.0,,
2023-06-30,2023-08-02,-2.0,,
2023-07-31,2023-09-06,-2.0,,
2023-08-31,2023-10-04,4.0,,
2023-09-30,2023-11-01,,,
2023-10-31,2023-12-06,,,
2023-11-30,2024-01-10,,,
2023-12-31,2024-02-04,,,
2024-01-31,2024-03-06,,,
2024-02-29,2024-04-04,,,
