Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-22,0.0,,0.1
2003-09-30,2003-10-21,0.6,,0.7
2003-12-31,2004-01-27,0.5,,0.5
2004-03-31,2004-04-27,0.9,0.7,0.7
2004-06-30,2004-07-27,0.5,0.6,0.6
2004-09-30,2004-10-26,0.4,0.7,0.6
2004-12-31,2005-01-24,0.8,0.6,0.6
2005-03-31,2005-04-26,0.7,0.8,0.8
2005-06-30,2005-07-26,0.6,0.8,0.8
2005-09-30,2005-10-25,0.9,1.1,1.1
2005-12-31,2006-01-24,0.5,0.6,0.6
2006-03-31,2006-04-25,0.9,0.8,0.8
2006-06-30,2006-07-25,1.6,1.0,1.0
2006-09-30,2006-10-24,0.9,0.7,0.7
2006-12-31,2007-01-23,-0.1,0.2,0.2
2007-03-31,2007-04-23,0.1,0.6,0.6
2007-06-30,2007-07-24,1.2,1.0,1.0
2007-09-30,2007-10-23,0.7,0.9,0.9
2007-12-31,2008-01-22,0.9,1.0,1.0
2008-03-31,2008-04-22,1.3,1.1,1.1
2008-06-30,2008-07-22,1.5,1.3,1.2
2008-09-30,2008-10-21,1.2,1.0,1.0
2008-12-31,2009-01-27,-0.3,-0.4,-0.4
2009-03-31,2009-04-21,0.1,0.5,0.5
2009-06-30,2009-07-21,0.5,0.5,0.5
2009-09-30,2009-10-27,1.0,0.9,0.8
2009-12-31,2010-01-26,0.5,0.4,0.4
2010-03-31,2010-04-27,0.9,0.8,0.8
2010-06-30,2010-07-27,0.6,1.0,1.0
2010-09-30,2010-10-26,0.7,0.8,0.8
2010-12-31,2011-01-24,0.4,0.7,0.8
2011-03-31,2011-04-26,1.6,1.2,1.2
2011-06-30,2011-07-26,0.9,0.7,0.8
2011-09-30,2011-10-25,0.6,0.6,0.6
2011-12-31,2012-01-24,0.0,0.2,0.2
2012-03-31,2012-04-23,0.1,0.6,0.6
2012-06-30,2012-07-24,0.5,0.6,0.6
2012-09-30,2012-10-23,1.4,1.0,1.1
2012-12-31,2013-01-22,0.2,0.4,0.4
2013-03-31,2013-04-23,0.4,0.7,0.7
2013-06-30,2013-07-23,0.4,0.5,0.5
2013-09-30,2013-10-22,1.2,0.8,0.8
2013-12-31,2014-01-21,0.8,0.4,0.4
2014-03-31,2014-04-22,0.6,0.8,0.8
2014-06-30,2014-07-22,0.5,0.5,0.5
2014-09-30,2014-10-21,0.5,0.4,0.4
2014-12-31,2015-01-27,0.2,0.3,0.2
2015-03-31,2015-04-21,0.2,0.1,0.2
2015-06-30,2015-07-21,0.7,0.8,0.7
2015-09-30,2015-10-27,0.5,0.7,0.7
2015-12-31,2016-01-26,0.4,0.3,0.3
2016-03-31,2016-04-26,-0.2,0.2,0.3
2016-06-30,2016-07-26,0.4,0.4,0.4
2016-09-30,2016-10-25,0.7,0.5,0.5
2016-12-31,2017-01-24,0.5,0.7,0.6
2017-03-31,2017-04-25,0.5,0.6,0.5
2017-06-30,2017-07-25,0.2,0.4,0.5
2017-09-30,2017-10-24,0.6,0.8,0.8
2017-12-31,2018-01-30,0.6,0.7,0.7
2018-03-31,2018-04-23,0.4,0.5,0.5
2018-06-30,2018-07-24,0.4,0.5,0.5
2018-09-30,2018-10-30,0.4,0.5,0.5
2018-12-31,2019-01-29,0.5,0.4,0.4
2019-03-31,2019-04-23,0.0,0.2,0.2
2019-06-30,2019-07-30,0.6,0.5,0.5
2019-09-30,2019-10-29,0.5,0.5,0.5
2019-12-31,2020-01-28,0.7,0.6,0.6
2020-03-31,2020-04-28,0.3,0.2,0.1
2020-06-30,2020-07-28,-1.9,-2.0,-1.8
2020-09-30,2020-10-27,1.6,1.5,1.5
2020-12-31,2021-01-26,0.9,0.7,0.7
2021-03-31,2021-04-27,0.6,0.9,0.9
2021-06-30,2021-07-27,0.8,0.7,0.7
2021-09-30,2021-10-26,0.8,0.8,0.8
2021-12-31,2022-01-24,1.3,1.0,1.0
2022-03-31,2022-04-26,2.1,1.7,1.7
2022-06-30,2022-07-26,1.8,1.9,2.0
2022-09-30,2022-10-25,1.8,1.6,1.5
2022-12-31,2023-01-24,1.9,1.6,1.7
2023-03-31,2023-04-25,1.4,1.3,1.3
2023-06-30,2023-07-25,0.8,1.0,1.0
2023-09-30,2023-10-24,1.2,1.1,1.0
2023-12-31,2024-01-30,0.6,0.8,0.8
2024-03-31,2024-04-23,1.0,0.8,0.8
2024-06-30,2024-07-30,1.0,1.0,1.0
2024-09-30,2024-10-29,0.2,0.3,0.3
2024-12-31,2025-01-28,0.2,0.3,0.3
2025-03-31,2025-04-29,0.9,0.8,0.8
